fold_id,rebalance_ts,next_rebalance_ts,universe_return,active_return,dispersion,active_weight,retained_names,excluded_losers
8,2024-02-13 09:15:00,2024-02-27 09:15:00,0.025550330923998516,0.041729238171682746,0.0028943593877905002,0.17215739029627342,SBIN|ITC|BAJAJ-AUTO,HDFCBANK|ONGC|HCLTECH
8,2024-02-27 09:15:00,2024-03-12 09:15:00,0.007865083669322502,0.0016663971299787418,0.0014704118837231002,0.0,SBIN|ITC|DRREDDY,BAJAJ-AUTO|WIPRO|LT
8,2024-03-12 09:15:00,2024-03-27 09:15:00,-0.011023886255434316,-0.02400880576531083,0.0014270220909712002,0.0,ITC|DRREDDY|HDFCBANK,NESTLEIND|SBIN|HCLTECH
8,2024-03-27 09:15:00,2024-04-12 09:15:00,0.008806898404961915,0.012695647525599622,0.0016862429695185999,0.0,ADANIPORTS|RELIANCE|BAJAJ-AUTO,INFY|BRITANNIA|KOTAKBANK
8,2024-04-12 09:15:00,2024-04-29 09:15:00,-0.004927610976593642,0.014294834456603237,0.0024811691926401,0.04051292566509668,BPCL|HDFCBANK|INFY,BAJAJ-AUTO|MARUTI|NESTLEIND
8,2024-04-29 09:15:00,2024-05-07 09:15:00,0.0014961025276212852,0.02768354088474256,0.0014131951046151,0.0,ICICIBANK|BRITANNIA|TECHM,BAJAJ-AUTO|SUNPHARMA|ULTRACEMCO
9,2024-05-08 09:15:00,2024-05-22 09:15:00,0.015933175397988525,-0.03368278689171471,0.002160739605987,0.0,DRREDDY|BPCL|LT,WIPRO|CIPLA|TECHM
9,2024-05-22 09:15:00,2024-06-05 09:15:00,-0.015316702410205852,0.0786119142790129,0.0020294061493710998,0.0,DRREDDY|HINDUNILVR|KOTAKBANK,BRITANNIA|SUNPHARMA|CIPLA
9,2024-06-05 09:15:00,2024-06-20 09:15:00,0.0591123753780528,0.10786134238348742,0.0119581077614836,0.5,LT|BPCL|ADANIPORTS,BHARTIARTL|RELIANCE|HINDUNILVR
9,2024-06-20 09:15:00,2024-07-04 09:15:00,0.03269225392676123,-0.01539835257893882,0.004381897714412299,0.5,BAJAJ-AUTO|DRREDDY|SBIN,MARUTI|HDFCBANK|M&M
9,2024-07-04 09:15:00,2024-07-19 09:15:00,0.033443138795269736,-0.06480425986793202,0.0058981597032406,0.5,HDFCBANK|ICICIBANK|RELIANCE,INFY|KOTAKBANK|SBIN
9,2024-07-19 09:15:00,2024-08-02 09:15:00,0.00438455043916038,-0.09137396832614564,0.0034022793126784,0.363692030914893,RELIANCE|WIPRO|SUNPHARMA,ICICIBANK|ADANIPORTS|ITC
9,2024-08-02 09:15:00,2024-08-19 09:15:00,-1.2442433684075646e-05,-0.03171920905248761,0.0007860280343802996,0.0,WIPRO|ADANIPORTS|HCLTECH,BAJAJ-AUTO|SBIN|SUNPHARMA
9,2024-08-19 09:15:00,2024-09-02 09:15:00,0.026978062610362827,0.01609884015679868,0.0024976399325771998,0.0675700562386391,ICICIBANK|M&M|BAJAJ-AUTO,DRREDDY|NESTLEIND|BPCL
9,2024-09-02 09:15:00,2024-09-16 09:15:00,0.003165816899943009,0.013940915523461994,0.0009874966169185998,0.0,ICICIBANK|M&M|HDFCBANK,ONGC|DRREDDY|NESTLEIND
9,2024-09-16 09:15:00,2024-09-30 09:15:00,0.022549035280989487,0.03490978622032749,0.0047659184688906,0.5,HDFCBANK|HINDUNILVR|AXISBANK,NESTLEIND|BAJAJ-AUTO|BRITANNIA
9,2024-09-30 09:15:00,2024-10-15 09:15:00,-0.02947203372819193,-0.03829533940070447,0.0038886877314573,0.5,BPCL|HCLTECH|INFY,BHARTIARTL|AXISBANK|ICICIBANK
9,2024-10-15 09:15:00,2024-10-29 09:15:00,-0.0443321992675092,-0.04298763006660027,0.0027760721902475,0.1587112466052064,HCLTECH|ONGC|WIPRO,MARUTI|BAJAJ-AUTO|M&M
9,2024-10-29 09:15:00,2024-11-12 09:15:00,0.006922283611906429,0.0003378794319567367,0.0016908225475595,0.0,HDFCBANK|DRREDDY|AXISBANK,BAJAJ-AUTO|HINDUNILVR|LT
9,2024-11-12 09:15:00,2024-11-28 09:15:00,-0.0074245493256532066,0.0005362751051272638,0.0022950259663195,0.0012470007703861974,HDFCBANK|ICICIBANK|SUNPHARMA,INFY|LT|CIPLA
9,2024-11-28 09:15:00,2024-12-12 09:15:00,0.013806788690068243,0.04213517732058327,0.0031451605769913004,0.2795275456927173,INFY|SBIN|TECHM,ADANIPORTS|HDFCBANK|HCLTECH
9,2024-12-12 09:15:00,2024-12-27 09:15:00,-0.015889147907210636,-0.053326477384204804,0.005084598617502299,0.5,SBIN|TECHM|SUNPHARMA,BAJAJ-AUTO|BPCL|MARUTI
9,2024-12-27 09:15:00,2025-01-10 09:15:00,-0.00876976445320102,-0.03902387184808987,0.0015596599477483001,0.0,SBIN|LT|BAJAJ-AUTO,TECHM|TCS|M&M
9,2025-01-10 09:15:00,2025-01-24 09:15:00,-0.011975090592536949,-0.03537216917520719,0.0030931761282586004,0.26251111024916884,TCS|M&M|ADANIPORTS,LT|ICICIBANK|BHARTIARTL
9,2025-01-24 09:15:00,2025-02-06 09:15:00,0.01392514791290849,0.004668338229840324,0.0016160120207638997,0.0,M&M|KOTAKBANK|ULTRACEMCO,BHARTIARTL|MARUTI|HINDUNILVR
9,2025-02-06 09:15:00,2025-02-20 09:15:00,-0.03256543457060083,-0.033977715258346884,0.0015289545017181999,0.0,BRITANNIA|BPCL|SBIN,M&M|ITC|TECHM
9,2025-02-20 09:15:00,2025-03-07 09:15:00,-0.02550008716154712,-0.03011893991805707,0.0034323941647953,0.3735497373911931,BPCL|SUNPHARMA|M&M,MARUTI|HDFCBANK|AXISBANK
9,2025-03-07 09:15:00,2025-03-24 09:15:00,0.0343345913711414,0.038428923725631094,0.0026177415813894997,0.10688377415814165,BPCL|HINDUNILVR|ICICIBANK,SBIN|BAJAJ-AUTO|RELIANCE
9,2025-03-24 09:15:00,2025-04-08 09:15:00,-0.05035763005407482,-0.04470042620677606,0.0016855804019146,0.0,BPCL|ADANIPORTS|BHARTIARTL,KOTAKBANK|ONGC|TECHM
9,2025-04-08 09:15:00,2025-04-25 09:15:00,0.07166331319455578,0.06404393894160255,0.0035690660371640003,0.4182875032001423,ADANIPORTS|BRITANNIA|HINDUNILVR,INFY|CIPLA|TCS
9,2025-04-25 09:15:00,2025-05-05 09:15:00,0.017072525150208687,0.009866050529863684,0.0026949217283869,0.13214769482906918,HINDUNILVR|LT|AXISBANK,SUNPHARMA|ADANIPORTS|TCS
10,2025-05-06 09:15:00,2025-05-20 09:15:00,0.02393540101079912,0.008931904204461029,0.001083045114361,0.0,ITC|BRITANNIA|ADANIPORTS,KOTAKBANK|NESTLEIND|M&M
10,2025-05-20 09:15:00,2025-06-03 09:15:00,-0.013515026511668162,-0.023528534462645252,0.0017887415237924,0.0,SUNPHARMA|ICICIBANK|AXISBANK,BAJAJ-AUTO|CIPLA|ITC
10,2025-06-03 09:15:00,2025-06-17 09:15:00,0.01726986656892926,-0.002106235507995872,0.0026025404658935004,0.11871384842543053,AXISBANK|ADANIPORTS|TECHM,RELIANCE|ONGC|DRREDDY
10,2025-06-17 09:15:00,2025-07-01 09:15:00,0.015215251034333048,0.014820057763687744,0.0017275058048202,0.0,ADANIPORTS|SUNPHARMA|M&M,HCLTECH|BPCL|WIPRO
