symbol,trade_date,expiry_date,entry_spot,expiry_spot,short_put_strike,long_put_strike,short_put_premium,long_put_premium,net_credit_points,spread_width_points,max_loss_points,max_loss_pct_collateral,pnl_points,return_on_max_loss,return_on_cash_equivalent,assigned_or_tested,_symbol,_entry_date,_expiry_date,strategy,variant,scenario,event_window_start,event_window_end,event_count,event_symbols,event_dates,event_sources,event_weight_pct,event_overlap_eligible,vetoed_by_overlay,broker_orders_allowed,allocation,residual_growth_weight,overlap_growth_weight,entry_date,weighted_pnl_points,weighted_return_on_margin,active_legs,has_defensive,has_growth
BHARTIARTL,2022-05-26,2022-06-30,693.65,684.95,650.0,620.0,9.25,4.95,4.3,30.0,25.7,0.0395384615384615,4.3,0.1673151750972762,0.0066153846153846,False,BHARTIARTL,2022-05-26,2022-06-30,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-05-26,2022-06-30,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-06-23,2022-07-28,660.2,666.85,620.0,600.0,8.9,5.85,3.0500000000000007,20.0,16.95,0.0273387096774193,3.0500000000000007,0.1799410029498525,0.0049193548387096,False,BHARTIARTL,2022-06-23,2022-07-28,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-06-23,2022-07-28,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-07-21,2022-08-25,678.35,741.0,640.0,610.0,8.2,3.1,5.1,30.0,24.9,0.0389062499999999,5.1,0.2048192771084337,0.00796875,False,BHARTIARTL,2022-07-21,2022-08-25,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-07-21,2022-08-25,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-08-25,2022-09-29,741.0,764.65,700.0,670.0,9.0,4.35,4.65,30.0,25.35,0.0362142857142857,4.65,0.1834319526627219,0.0066428571428571,False,BHARTIARTL,2022-08-25,2022-09-29,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-08-25,2022-09-29,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-09-22,2022-10-27,784.1,817.1,730.0,700.0,8.65,4.35,4.300000000000001,30.0,25.7,0.0352054794520547,4.300000000000001,0.1673151750972763,0.0058904109589041,False,BHARTIARTL,2022-09-22,2022-10-27,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-09-22,2022-10-27,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-10-20,2022-11-24,792.9,848.35,750.0,730.0,9.2,7.0,2.1999999999999997,20.0,17.8,0.0237333333333333,2.1999999999999997,0.1235955056179774,0.0029333333333333,False,BHARTIARTL,2022-10-20,2022-11-24,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-10-20,2022-11-24,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-11-24,2022-12-29,848.35,820.75,800.0,770.0,3.85,2.05,1.8000000000000005,30.0,28.2,0.03525,1.8000000000000005,0.0638297872340425,0.00225,False,BHARTIARTL,2022-11-24,2022-12-29,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-11-24,2022-12-29,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-12-21,2023-01-25,814.0,776.5,750.0,700.0,2.65,0.7,1.95,50.0,48.05,0.0640666666666666,1.95,0.0405827263267429,0.0026,False,BHARTIARTL,2022-12-21,2023-01-25,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-12-21,2023-01-25,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-01-19,2023-02-23,772.0,762.95,730.0,700.0,4.95,2.35,2.6,30.0,27.4,0.0375342465753424,2.6,0.0948905109489051,0.0035616438356164,False,BHARTIARTL,2023-01-19,2023-02-23,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-01-19,2023-02-23,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-02-22,2023-03-29,772.15,743.6,730.0,700.0,4.9,2.05,2.8500000000000005,30.0,27.15,0.0371917808219178,2.8500000000000005,0.1049723756906077,0.003904109589041,False,BHARTIARTL,2023-02-22,2023-03-29,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-02-22,2023-03-29,0,,,,0.0,False,False,False,,,,,,,,,
