fold_set,quantile,threshold,normal_active_weight,hedge_active_weight,borrow_annual,short_slippage_bps,fold_count,mean_strategy_annualized,mean_rebalanced_benchmark_annualized,mean_excess_vs_rebalanced_benchmark_annualized,folds_beating_rebalanced_benchmark,min_excess_vs_rebalanced_benchmark_annualized
fit_folds_1_8,0.25,0.4074074074074073,0.1,-0.1,0.05,25.0,8,0.18320402560890395,0.16888483494264864,0.01431919066625531,7,-0.0003709011918717753
fit_folds_1_8,0.2,0.34074074074074084,0.1,-0.1,0.05,25.0,8,0.18294884405665107,0.16888483494264864,0.014064009114002421,7,-0.0003709011918717753
fit_folds_1_8,0.4,0.5333333333333334,0.1,-0.1,0.05,25.0,8,0.18167004239853204,0.16888483494264864,0.012785207455883407,7,-0.0011237948045759172
fit_folds_1_8,0.5,0.5925925925925924,0.1,-0.2,0.05,25.0,8,0.18080500809693098,0.16888483494264864,0.011920173154282343,7,-0.0023117406445143374
fit_folds_1_8,0.25,0.4074074074074073,0.0,-0.3,0.05,25.0,8,0.17849654560992578,0.16888483494264864,0.00961171066727716,7,-0.022888310215887442
fit_folds_1_8,0.25,0.4074074074074073,0.0,-0.2,0.05,25.0,8,0.1752863980602558,0.16888483494264864,0.006401563117607187,7,-0.015259591145315499
fit_folds_1_8,0.25,0.4074074074074073,0.0,-0.1,0.05,25.0,8,0.17208252137336966,0.16888483494264864,0.0031976864307210195,7,-0.00763015304785708
fit_folds_1_8,0.4,0.5333333333333334,0.1,-0.3,0.05,25.0,8,0.18537898188829932,0.16888483494264864,0.01649414694565067,6,-0.0042943455825825705
fit_folds_1_8,0.2,0.34074074074074084,0.0,-0.3,0.05,25.0,8,0.17895562349564964,0.16888483494264864,0.010070788553001017,6,-0.0005119639226136563
fit_folds_1_8,0.33,0.48148148148148134,0.0,-0.3,0.05,25.0,8,0.17738362443107014,0.16888483494264864,0.008498789488421518,6,-0.022888310215887442
fit_folds_1_8,0.2,0.34074074074074084,0.0,-0.2,0.05,25.0,8,0.17559531870218303,0.16888483494264864,0.006710483759534383,6,-0.0003413097316384839
fit_folds_1_8,0.33,0.48148148148148134,0.0,-0.2,0.05,25.0,8,0.1745505720388431,0.16888483494264864,0.005665737096194459,6,-0.015259591145315499
fit_folds_1_8,0.2,0.34074074074074084,0.0,-0.1,0.05,25.0,8,0.17223839335165222,0.16888483494264864,0.0033535584090035875,6,-0.0001706550907443205
fit_folds_1_8,0.33,0.48148148148148134,0.0,-0.1,0.05,25.0,8,0.17171765828245122,0.16888483494264864,0.002832823339802587,6,-0.00763015304785708
fit_folds_1_8,0.5,0.5925925925925924,0.1,-0.3,0.05,25.0,8,0.18141932845264513,0.16888483494264864,0.012534493509996511,5,-0.01284325309626877
fit_folds_1_8,0.4,0.5333333333333334,0.0,-0.3,0.05,25.0,8,0.1744625730049182,0.16888483494264864,0.005577738062269563,5,-0.022888310215887442
fit_folds_1_8,0.4,0.5333333333333334,0.0,-0.2,0.05,25.0,8,0.17260788324548754,0.16888483494264864,0.0037230483028389133,5,-0.015259591145315499
fit_folds_1_8,0.4,0.5333333333333334,0.0,-0.1,0.05,25.0,8,0.17074866641804862,0.16888483494264864,0.0018638314753999796,5,-0.00763015304785708
fit_folds_1_8,0.5,0.5925925925925924,0.0,-0.3,0.05,25.0,8,0.1707934779013413,0.16888483494264864,0.0019086429586926829,3,-0.031255894952233465
fit_folds_1_8,0.5,0.5925925925925924,0.0,-0.2,0.05,25.0,8,0.17016322087669303,0.16888483494264864,0.0012783859340443904,3,-0.020873825602604867
fit_folds_1_8,0.5,0.5925925925925924,0.0,-0.1,0.05,25.0,8,0.1695270284970648,0.16888483494264864,0.0006421935544161789,3,-0.010455210623729005
