experiment_id,rebalance_idx,open_ts,next_open_ts,eligible_count,portfolio_return,long_contribution,short_contribution,turnover,long_names,short_names
E1006,250,2024-04-16 09:15:00,2024-04-22 09:15:00,27,-0.013873534458037119,-0.013873534458037119,0.0,1.6,"WIPRO,ULTRACEMCO,HCLTECH,NESTLEIND,BRITANNIA",
E1006,253,2024-04-22 09:15:00,2024-04-25 09:15:00,27,0.003155783599794135,0.003155783599794135,0.0,1.6,"ONGC,BAJAJ-AUTO,NESTLEIND,HDFCBANK,MARUTI",
E1006,256,2024-04-25 09:15:00,2024-04-30 09:15:00,27,0.01653001118596315,0.01653001118596315,0.0,0.8,"BAJAJ-AUTO,NESTLEIND,M&M,ITC,MARUTI",
E1006,259,2024-04-30 09:15:00,2024-05-06 09:15:00,27,-0.0006985275684301996,-0.0006985275684301996,0.0,0.8,"BHARTIARTL,BAJAJ-AUTO,ITC,M&M,RELIANCE",
E1006,262,2024-05-06 09:15:00,2024-05-09 09:15:00,27,-0.0018305714734058913,-0.0018305714734058913,0.0,2.0,"KOTAKBANK,ADANIPORTS,TECHM,TCS,BPCL",
E1006,265,2024-05-09 09:15:00,2024-05-14 09:15:00,27,-0.0071007147088692065,-0.0071007147088692065,0.0,1.6,"BAJAJ-AUTO,M&M,TECHM,NESTLEIND,CIPLA",
E1006,268,2024-05-14 09:15:00,2024-05-17 09:15:00,27,0.03486805360367164,0.03486805360367164,0.0,0.8,"M&M,BPCL,TCS,TECHM,BAJAJ-AUTO",
E1006,271,2024-05-17 09:15:00,2024-05-22 09:15:00,27,0.0001257265983617352,0.0001257265983617352,0.0,1.6,"NESTLEIND,TCS,WIPRO,ITC,INFY",
E1006,274,2024-05-22 09:15:00,2024-05-27 09:15:00,27,0.015870420127581622,0.015870420127581622,0.0,1.6,"HDFCBANK,NESTLEIND,KOTAKBANK,RELIANCE,HINDUNILVR",
E1006,277,2024-05-27 09:15:00,2024-05-30 09:15:00,27,-0.011801812993789773,-0.011801812993789773,0.0,2.0,"DRREDDY,M&M,BRITANNIA,ULTRACEMCO,WIPRO",
E1006,280,2024-05-30 09:15:00,2024-06-04 09:15:00,27,-0.032276473441119724,-0.032276473441119724,0.0,1.2000000000000002,"NESTLEIND,WIPRO,TECHM,MARUTI,BRITANNIA",
E1006,283,2024-06-04 09:15:00,2024-06-07 09:15:00,27,-0.03589476259259307,-0.03589476259259307,0.0,2.0,"SBIN,ADANIPORTS,ONGC,BPCL,KOTAKBANK",
E1006,286,2024-06-07 09:15:00,2024-06-12 09:15:00,27,0.02134557918747557,0.02134557918747557,0.0,1.6,"TECHM,BPCL,INFY,LT,HINDUNILVR",
E1006,289,2024-06-12 09:15:00,2024-06-18 09:15:00,27,0.009162334994769126,0.009162334994769126,0.0,2.0,"HDFCBANK,ULTRACEMCO,ITC,BAJAJ-AUTO,NESTLEIND",
E1006,292,2024-06-18 09:15:00,2024-06-21 09:15:00,27,-0.015757862005449527,-0.015757862005449527,0.0,1.6,"M&M,NESTLEIND,CIPLA,RELIANCE,BRITANNIA",
E1006,295,2024-06-21 09:15:00,2024-06-26 09:15:00,27,-0.007005508963522468,-0.007005508963522468,0.0,1.6,"INFY,BHARTIARTL,CIPLA,TECHM,DRREDDY",
E1006,298,2024-06-26 09:15:00,2024-07-01 09:15:00,27,0.029809145583572505,0.029809145583572505,0.0,1.2000000000000002,"ULTRACEMCO,HCLTECH,DRREDDY,BAJAJ-AUTO,INFY",
E1006,301,2024-07-01 09:15:00,2024-07-04 09:15:00,27,0.029727490486313214,0.029727490486313214,0.0,1.6,"WIPRO,INFY,BPCL,AXISBANK,HDFCBANK",
E1006,304,2024-07-04 09:15:00,2024-07-09 09:15:00,27,-0.009740678895290088,-0.009740678895290088,0.0,1.2000000000000002,"ADANIPORTS,WIPRO,RELIANCE,HDFCBANK,ICICIBANK",
E1006,307,2024-07-09 09:15:00,2024-07-12 09:15:00,27,0.010373110496941635,0.010373110496941635,0.0,1.2000000000000002,"BPCL,ADANIPORTS,ONGC,RELIANCE,LT",
E1006,310,2024-07-12 09:15:00,2024-07-18 09:15:00,27,0.007202124842805857,0.007202124842805857,0.0,2.0,"TECHM,AXISBANK,INFY,CIPLA,BAJAJ-AUTO",
E1006,313,2024-07-18 09:15:00,2024-07-23 09:15:00,27,0.006738088737052345,0.006738088737052345,0.0,1.6,"CIPLA,HDFCBANK,TCS,MARUTI,SBIN",
E1006,316,2024-07-23 09:15:00,2024-07-26 09:15:00,27,-0.004698016412990509,-0.004698016412990509,0.0,1.6,"BRITANNIA,KOTAKBANK,RELIANCE,HDFCBANK,TECHM",
E1006,319,2024-07-26 09:15:00,2024-07-31 09:15:00,27,0.005860795218556258,0.005860795218556258,0.0,2.0,"CIPLA,BHARTIARTL,HINDUNILVR,WIPRO,INFY",
E1006,322,2024-07-31 09:15:00,2024-08-05 09:15:00,27,-0.04021262226820161,-0.04021262226820161,0.0,1.6,"TCS,TECHM,WIPRO,BAJAJ-AUTO,AXISBANK",
E1006,325,2024-08-05 09:15:00,2024-08-08 09:15:00,27,-0.000586218202138682,-0.000586218202138682,0.0,2.0,"HINDUNILVR,LT,INFY,DRREDDY,SBIN",
E1006,328,2024-08-08 09:15:00,2024-08-13 09:15:00,27,0.003034220113839131,0.003034220113839131,0.0,2.0,"M&M,ICICIBANK,RELIANCE,HCLTECH,WIPRO",
E1006,331,2024-08-13 09:15:00,2024-08-19 09:15:00,27,0.014060600135164344,0.014060600135164344,0.0,1.2000000000000002,"BPCL,AXISBANK,CIPLA,ICICIBANK,HCLTECH",
E1006,334,2024-08-19 09:15:00,2024-08-22 09:15:00,27,0.005119802092427248,0.005119802092427248,0.0,1.2000000000000002,"SUNPHARMA,ICICIBANK,NESTLEIND,HCLTECH,MARUTI",
E1006,337,2024-08-22 09:15:00,2024-08-27 09:15:00,27,-0.00778173083531224,-0.00778173083531224,0.0,1.6,"BPCL,BRITANNIA,CIPLA,NESTLEIND,TCS",
E1006,340,2024-08-27 09:15:00,2024-08-30 09:15:00,27,0.0029678804976932195,0.0029678804976932195,0.0,2.0,"TECHM,ICICIBANK,M&M,MARUTI,ULTRACEMCO",
E1006,343,2024-08-30 09:15:00,2024-09-04 09:15:00,27,0.0016628613195199683,0.0016628613195199683,0.0,2.0,"HDFCBANK,BAJAJ-AUTO,HCLTECH,ITC,SBIN",
E1006,346,2024-09-04 09:15:00,2024-09-09 09:15:00,27,-0.02578050186616463,-0.02578050186616463,0.0,1.2000000000000002,"HCLTECH,AXISBANK,TECHM,SBIN,ICICIBANK",
E1006,349,2024-09-09 09:15:00,2024-09-12 09:15:00,27,0.00957268295063148,0.00957268295063148,0.0,0.8,"CIPLA,WIPRO,ICICIBANK,SBIN,TECHM",
E1006,352,2024-09-12 09:15:00,2024-09-17 09:15:00,27,0.012792862552213097,0.012792862552213097,0.0,1.2000000000000002,"NESTLEIND,TCS,ONGC,ICICIBANK,TECHM",
E1006,355,2024-09-17 09:15:00,2024-09-20 09:15:00,27,-0.027187098954785268,-0.027187098954785268,0.0,1.6,"TECHM,HCLTECH,WIPRO,SUNPHARMA,CIPLA",
E1006,358,2024-09-20 09:15:00,2024-09-25 09:15:00,27,0.013338932160418676,0.013338932160418676,0.0,1.2000000000000002,"TCS,BHARTIARTL,ULTRACEMCO,CIPLA,TECHM",
E1006,361,2024-09-25 09:15:00,2024-09-30 09:15:00,27,0.008235213837880237,0.008235213837880237,0.0,1.6,"CIPLA,ADANIPORTS,KOTAKBANK,DRREDDY,SUNPHARMA",
E1006,364,2024-09-30 09:15:00,2024-10-04 09:15:00,27,-0.025690181373870666,-0.025690181373870666,0.0,1.6,"BPCL,CIPLA,ITC,INFY,HCLTECH",
E1006,367,2024-10-04 09:15:00,2024-10-09 09:15:00,27,-0.007765141161304944,-0.007765141161304944,0.0,2.0,"MARUTI,M&M,HDFCBANK,HINDUNILVR,ULTRACEMCO",
E1006,370,2024-10-09 09:15:00,2024-10-14 09:15:00,27,-0.0042353415400195995,-0.0042353415400195995,0.0,1.6,"HINDUNILVR,ICICIBANK,ADANIPORTS,BAJAJ-AUTO,TECHM",
E1006,373,2024-10-14 09:15:00,2024-10-17 09:15:00,27,-0.00477845818227543,-0.00477845818227543,0.0,1.2000000000000002,"CIPLA,TECHM,AXISBANK,HINDUNILVR,BRITANNIA",
E1006,376,2024-10-17 09:15:00,2024-10-22 09:15:00,27,0.010088413664312434,0.010088413664312434,0.0,1.6,"AXISBANK,RELIANCE,ICICIBANK,NESTLEIND,HDFCBANK",
E1006,379,2024-10-22 09:15:00,2024-10-25 09:15:00,27,-0.027052483362377883,-0.027052483362377883,0.0,2.0,"BAJAJ-AUTO,LT,BPCL,ADANIPORTS,ULTRACEMCO",
E1006,382,2024-10-25 09:15:00,2024-10-30 09:15:00,27,-0.01581847150787838,-0.01581847150787838,0.0,2.0,"HINDUNILVR,INFY,HDFCBANK,HCLTECH,CIPLA",
E1006,385,2024-10-30 09:15:00,2024-11-04 09:15:00,27,0.005533429555891408,0.005533429555891408,0.0,1.2000000000000002,"CIPLA,HCLTECH,DRREDDY,TCS,SUNPHARMA",
E1006,388,2024-11-04 09:15:00,2024-11-07 09:15:00,27,0.019179374481501858,0.019179374481501858,0.0,1.6,"SUNPHARMA,RELIANCE,WIPRO,BAJAJ-AUTO,ONGC",
E1006,391,2024-11-07 09:15:00,2024-11-12 09:15:00,27,0.007080866544973375,0.007080866544973375,0.0,2.0,"HCLTECH,TCS,SBIN,HDFCBANK,INFY",
E1006,394,2024-11-12 09:15:00,2024-11-18 09:15:00,27,-0.024032179562298535,-0.024032179562298535,0.0,1.6,"KOTAKBANK,SUNPHARMA,ICICIBANK,HDFCBANK,TECHM",
