scenario,allocation,entry_date,expiry_date,weighted_pnl_before_stt_points,weighted_exercise_stt_points,weighted_pnl_after_stt_points,weighted_return_after_stt,defensive_short_intrinsic_points,growth_short_intrinsic_points,defensive_itm_short_legs,growth_itm_short_legs
moderate_stress,def_full_resg0_ovg50,2019-05-22,2019-05-30,162.52500000000003,0.0,162.52500000000003,0.3045535463318655,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2019-05-23,2019-05-30,44.58749999999999,0.0,44.58749999999999,0.07282266955208035,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2019-09-23,2019-09-26,6.862500000000004,0.0,6.862500000000004,0.010765972467349108,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2019-09-26,2019-10-03,11.512499999999996,0.0,11.512499999999996,0.01970222051084584,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2019-10-14,2019-10-17,1.2375000000000016,0.0,1.2375000000000016,0.0020932887892755984,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2019-10-17,2019-10-24,0.4875000000000015,0.0,0.4875000000000015,0.0006157829917579834,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2019-12-16,2019-12-19,-8.006250000000001,0.0,-8.006250000000001,-0.00802762354769574,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-06-01,2020-06-04,42.28125,0.0,42.28125,0.09116022099447513,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-06-04,2020-06-11,77.88750000000002,0.0,77.88750000000002,0.1589297556496455,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-06-18,2020-06-25,69.39375000000001,0.0,69.39375000000001,0.13998083663229027,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-06-22,2020-06-25,37.21875,0.0,37.21875,0.07196374622356495,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-07-06,2020-07-09,7.912499999999998,0.0,7.912499999999998,0.01474218640830965,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-07-20,2020-07-23,20.775,0.0,20.775,0.03593358125054051,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-08-10,2020-08-13,-3.075000000000001,0.0,-3.075000000000001,-0.005176331958589346,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-08-27,2020-09-03,8.606249999999996,0.0,8.606249999999996,0.014679857572333206,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-10-05,2020-10-08,11.4375,0.0,11.4375,0.018029556650246307,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-10-08,2020-10-15,27.768750000000004,0.0,27.768750000000004,0.0484208461387563,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-10-12,2020-10-15,6.862500000000004,0.0,6.862500000000004,0.011682342426692778,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-11-13,2020-11-19,1.1062499999999984,0.0,1.1062499999999984,0.001725112570905048,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-12-07,2020-12-10,-4.33125,0.0,-4.33125,-0.0062330233311147475,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2020-12-28,2020-12-31,-1.875,0.0,-1.875,-0.002704652001442481,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-01-07,2021-01-14,31.368750000000002,0.0,31.368750000000002,0.04350200218420095,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-01-11,2021-01-14,6.487499999999999,0.0,6.487499999999999,0.0087945233334463,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-02-01,2021-02-04,74.625,0.0,74.625,0.10780065005417117,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-02-04,2021-02-11,34.40625,0.0,34.40625,0.047848761408083446,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-02-08,2021-02-11,8.737500000000004,0.0,8.737500000000004,0.011113937736509052,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-04-26,2021-04-29,37.893750000000004,0.0,37.893750000000004,0.05286977449903209,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-04-29,2021-05-06,101.68124999999999,0.0,101.68124999999999,0.15081483953501307,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-05-20,2021-05-27,53.25,0.0,53.25,0.07038995373430271,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-05-31,2021-06-03,-4.5,0.0,-4.5,-0.0056603773584905665,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-08-04,2021-08-12,8.850000000000003,0.0,8.850000000000003,0.010584858270541805,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-12-27,2021-12-30,10.049999999999999,0.0,10.049999999999999,0.01135208403930871,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2021-12-30,2022-01-06,24.993750000000002,0.0,24.993750000000002,0.02855327230925215,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-01-03,2022-01-06,1.8562499999999984,0.0,1.8562499999999984,0.002083888803132146,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-01-05,2022-01-13,35.21249999999999,0.0,35.21249999999999,0.04054287441351716,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-03-21,2022-03-24,64.98750000000001,0.0,64.98750000000001,0.07657524965387222,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-05-30,2022-06-02,8.231249999999996,0.0,8.231249999999996,0.009839960550499837,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-07-06,2022-07-14,59.512499999999996,0.0,59.512499999999996,0.07417505375003894,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-07-07,2022-07-14,26.85,0.0,26.85,0.03258099745176556,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-07-20,2022-07-28,9.731249999999996,0.01546875,9.715781249999996,0.01174449615448542,8.25,8.25,1,1
moderate_stress,def_full_resg0_ovg50,2022-07-21,2022-07-28,20.2875,0.0,20.2875,0.02448776366215034,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-10-17,2022-10-20,16.875,0.0,16.875,0.019159806982685212,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-10-19,2022-10-27,25.087500000000002,0.0,25.087500000000002,0.02866242038216561,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2022-10-20,2022-10-27,4.556250000000002,0.0,4.556250000000002,0.005125356806389474,0.0,0.0,0,0
