thesis_id,fold_id,rebalance_date,next_rebalance_date,selected_symbols,event_return,available_symbols
TB06_Z05_ETFLowVolRotation,3,2018-12-24,2019-01-08,NIFTYBEES|BANKBEES,0.01630530681687521,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2019-01-08,2019-01-22,BANKBEES|NIFTYBEES,0.0018996841035840602,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2019-01-08,2019-01-22,NIFTYBEES|BANKBEES,0.0018996841035840602,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2019-01-22,2019-02-05,BANKBEES|NIFTYBEES,-0.002521108097256116,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2019-01-22,2019-02-05,NIFTYBEES|BANKBEES,-0.002521108097256116,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2019-02-05,2019-02-19,BANKBEES|NIFTYBEES,-0.028940295580304094,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2019-02-05,2019-02-19,NIFTYBEES|BANKBEES,-0.028940295580304094,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2019-02-19,2019-03-06,BANKBEES|NIFTYBEES,0.035305827464451024,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2019-02-19,2019-03-06,NIFTYBEES|BANKBEES,0.035305827464451024,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2019-03-06,2019-03-20,NIFTYBEES|BANKBEES,0.059291522404531824,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2019-03-06,2019-03-20,NIFTYBEES|BANKBEES,0.059291522404531824,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2019-03-20,2019-04-04,BANKBEES|NIFTYBEES,0.005418159451105853,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2019-03-20,2019-04-04,NIFTYBEES|BANKBEES,0.005418159451105853,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2019-04-04,2019-04-22,BANKBEES|NIFTYBEES,-0.005924113971535546,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2019-04-04,2019-04-22,NIFTYBEES|BANKBEES,-0.005924113971535546,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2019-04-22,2019-05-03,BANKBEES|NIFTYBEES,0.008635122745747544,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2019-04-22,2019-05-03,NIFTYBEES|BANKBEES,0.008635122745747544,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-05-06,2019-05-20,BANKBEES|NIFTYBEES,0.02682070527596138,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-05-06,2019-05-20,NIFTYBEES|BANKBEES,0.02682070527596138,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-05-20,2019-06-03,BANKBEES|NIFTYBEES,0.021851910763559898,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-05-20,2019-06-03,NIFTYBEES|BANKBEES,0.021851910763559898,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-06-03,2019-06-18,BANKBEES|NIFTYBEES,-0.037803981061935846,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-06-03,2019-06-18,NIFTYBEES|BANKBEES,-0.037803981061935846,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-06-18,2019-07-02,NIFTYBEES|BANKBEES,0.023778398785653118,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-06-18,2019-07-02,NIFTYBEES|BANKBEES,0.023778398785653118,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-07-02,2019-07-16,BANKBEES|NIFTYBEES,-0.021595133097953884,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-07-02,2019-07-16,NIFTYBEES|BANKBEES,-0.021595133097953884,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-07-16,2019-07-30,BANKBEES|NIFTYBEES,-0.053517355826016466,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-07-16,2019-07-30,NIFTYBEES|BANKBEES,-0.053517355826016466,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-07-30,2019-08-14,BANKBEES|NIFTYBEES,-0.020590503547982437,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-07-30,2019-08-14,NIFTYBEES|BANKBEES,-0.020590503547982437,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-08-14,2019-08-29,NIFTYBEES|BANKBEES,-0.013329004574239786,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-08-14,2019-08-29,NIFTYBEES|BANKBEES,-0.013329004574239786,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-08-29,2019-09-16,NIFTYBEES|BANKBEES,0.006254475119567887,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-08-29,2019-09-16,NIFTYBEES|BANKBEES,0.006254475119567887,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-09-16,2019-09-30,NIFTYBEES|BANKBEES,0.04606966961530296,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-09-16,2019-09-30,NIFTYBEES|BANKBEES,0.04606966961530296,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-09-30,2019-10-16,NIFTYBEES|BANKBEES,-0.015647315877072285,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-09-30,2019-10-16,NIFTYBEES|BANKBEES,-0.015647315877072285,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-10-16,2019-10-31,NIFTYBEES|BANKBEES,0.04141234159517963,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-10-16,2019-10-31,NIFTYBEES|BANKBEES,0.04141234159517963,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-10-31,2019-11-15,NIFTYBEES|BANKBEES,0.015913808546805557,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-10-31,2019-11-15,NIFTYBEES|BANKBEES,0.015913808546805557,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-11-15,2019-11-29,BANKBEES|NIFTYBEES,0.017830186466021258,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-11-15,2019-11-29,NIFTYBEES|BANKBEES,0.017830186466021258,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-11-29,2019-12-13,BANKBEES|NIFTYBEES,0.0005161291443404191,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-11-29,2019-12-13,NIFTYBEES|BANKBEES,0.0005161291443404191,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-12-13,2019-12-30,BANKBEES|NIFTYBEES,0.014291545921331552,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-12-13,2019-12-30,NIFTYBEES|BANKBEES,0.014291545921331552,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2019-12-30,2020-01-13,BANKBEES|NIFTYBEES,-0.004128074426689221,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2019-12-30,2020-01-13,NIFTYBEES|BANKBEES,-0.004128074426689221,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2020-01-13,2020-01-27,BANKBEES|NIFTYBEES,-0.027756924725183686,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2020-01-13,2020-01-27,NIFTYBEES|BANKBEES,-0.027756924725183686,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,4,2020-01-27,2020-02-07,BANKBEES|NIFTYBEES,0.0015144992539506711,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,4,2020-01-27,2020-02-07,NIFTYBEES|BANKBEES,0.0015144992539506711,BANKBEES|NIFTYBEES
