entry_date,reason,expiry_date,total_entry_contracts
2019-05-27,liquidity_below_min_entry_contracts,2019-05-30,49341.0
2019-05-28,liquidity_below_min_entry_contracts,2019-06-06,10734.0
2019-05-29,liquidity_below_min_entry_contracts,2019-06-06,3265.0
2019-05-30,liquidity_below_min_entry_contracts,2019-06-06,6378.0
2019-06-03,liquidity_below_min_entry_contracts,2019-06-06,34450.0
2019-06-06,liquidity_below_min_entry_contracts,2019-06-13,20637.0
2019-06-11,liquidity_below_min_entry_contracts,2019-06-20,2929.0
2019-06-12,liquidity_below_min_entry_contracts,2019-06-20,434.0
2019-06-13,uptrend_gate_false,,
2019-06-17,uptrend_gate_false,,
2019-06-18,uptrend_gate_false,,
2019-06-19,uptrend_gate_false,,
2019-06-20,uptrend_gate_false,,
2019-06-24,uptrend_gate_false,,
2019-06-25,uptrend_gate_false,,
2019-06-26,uptrend_gate_false,,
2019-06-27,uptrend_gate_false,,
2019-07-01,uptrend_gate_false,,
2019-07-02,uptrend_gate_false,,
2019-07-03,liquidity_below_min_entry_contracts,2019-07-11,1374.0
2019-07-04,uptrend_gate_false,,
2019-07-08,uptrend_gate_false,,
2019-07-09,uptrend_gate_false,,
2019-07-10,uptrend_gate_false,,
2019-07-11,uptrend_gate_false,,
2019-07-15,uptrend_gate_false,,
2019-07-16,uptrend_gate_false,,
2019-07-17,uptrend_gate_false,,
2019-07-18,uptrend_gate_false,,
2019-07-22,uptrend_gate_false,,
2019-07-23,uptrend_gate_false,,
2019-07-24,uptrend_gate_false,,
2019-07-25,uptrend_gate_false,,
2019-07-29,uptrend_gate_false,,
2019-07-30,uptrend_gate_false,,
2019-07-31,uptrend_gate_false,,
2019-08-01,uptrend_gate_false,,
2019-08-05,uptrend_gate_false,,
2019-08-06,uptrend_gate_false,,
2019-08-07,uptrend_gate_false,,
2019-08-08,uptrend_gate_false,,
2019-08-13,uptrend_gate_false,,
2019-08-19,uptrend_gate_false,,
2019-08-20,uptrend_gate_false,,
2019-08-21,uptrend_gate_false,,
2019-08-22,uptrend_gate_false,,
2019-08-26,uptrend_gate_false,,
2019-08-27,uptrend_gate_false,,
2019-08-28,uptrend_gate_false,,
2019-08-29,uptrend_gate_false,,
2019-09-03,uptrend_gate_false,,
2019-09-04,uptrend_gate_false,,
