experiment_id,variant,fold_id,fold_start_date,fold_end_date,fold_trade_dates,rebalance_count,strategy_total_return,strategy_annualized_return,buyhold_total_return,buyhold_annualized_return,excess_vs_buyhold_ann,beats_buyhold_annualized,mean_interval_return,win_rate,mean_gate_pass_rate
E1006,breadth_trend_up,7,2022-05-13,2023-05-10,246,25,0.32856939487372694,0.3347209940527578,0.16976313402808468,0.17274938410444074,0.16197160994831705,True,0.011664336660749224,0.44,0.56
E1006,breadth_strong,7,2022-05-13,2023-05-10,246,25,0.29823810885770086,0.30375958291885374,0.16976313402808468,0.17274938410444074,0.131010198814413,True,0.010697937035094496,0.32,0.4
E1006,breadth_expanding,7,2022-05-13,2023-05-10,246,25,0.12009119596384621,0.1221586245810542,0.16976313402808468,0.17274938410444074,-0.05059075952338654,False,0.004672402611370266,0.24,0.32
E1006,ungated,8,2023-05-11,2024-05-07,246,25,0.42759082671268267,0.43587829517777643,0.34194496603743135,0.34837810743321795,0.08750018774455848,True,0.014894343164476536,0.76,1.0
E1006,breadth_trend_up,8,2023-05-11,2024-05-07,246,25,0.11000816943583658,0.11189348641150909,0.34194496603743135,0.34837810743321795,-0.23648462102170886,False,0.0045083956163528525,0.36,0.52
E1006,breadth_strong,8,2023-05-11,2024-05-07,246,25,0.0702465361480733,0.07142861934442446,0.34194496603743135,0.34837810743321795,-0.2769494880887935,False,0.002982935685352261,0.24,0.36
E1006,breadth_expanding,8,2023-05-11,2024-05-07,246,25,0.05378749078633471,0.05468557697571397,0.34194496603743135,0.34837810743321795,-0.293692530457504,False,0.002370418108470387,0.28,0.4
E1006,ungated,9,2024-05-08,2025-05-05,246,25,-0.15690883665765853,-0.1592454132438873,0.09332925688444321,0.09491666722291936,-0.25416208046680666,False,-0.005733670565100479,0.48,1.0
E1006,breadth_trend_up,9,2024-05-08,2025-05-05,246,25,-0.06506732384519442,-0.06608957721711273,0.09332925688444321,0.09491666722291936,-0.1610062444400321,False,-0.002239848280212384,0.32,0.64
E1006,breadth_strong,9,2024-05-08,2025-05-05,246,25,-0.03655035423543296,-0.037133496383398024,0.09332925688444321,0.09491666722291936,-0.13205016360631738,False,-0.0010565416876951918,0.28,0.56
E1006,breadth_expanding,9,2024-05-08,2025-05-05,246,25,-0.1001779321129801,-0.1017210567233906,0.09332925688444321,0.09491666722291936,-0.19663772394630996,False,-0.003915715411515482,0.2,0.44
E1006,ungated,10,2025-05-06,2026-04-30,246,25,0.11257165788705703,0.11450313137054469,0.0008885770388612419,0.0009030319677367782,0.11360009940280791,True,0.0047955545107605645,0.56,1.0
E1006,breadth_trend_up,10,2025-05-06,2026-04-30,246,25,-0.021450854793232943,-0.021795820352377704,0.0008885770388612419,0.0009030319677367782,-0.022698852320114482,False,-0.0005809009719308722,0.2,0.4
E1006,breadth_strong,10,2025-05-06,2026-04-30,246,25,-0.06821220861884691,-0.06928201640153986,0.0008885770388612419,0.0009030319677367782,-0.07018504836927664,False,-0.002626944068790372,0.12,0.28
E1006,breadth_expanding,10,2025-05-06,2026-04-30,246,25,-0.025698986675412927,-0.02611135307673962,0.0008885770388612419,0.0009030319677367782,-0.027014385044476397,False,-0.0007780772661368277,0.12,0.28
