trade_date,status,url,path,bytes,generated_at_ist
2024-07-08,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240708_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240708_F_0000.csv.zip,1170530,2026-07-03T09:41:20.619966+05:30
2024-07-09,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240709_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240709_F_0000.csv.zip,1171162,2026-07-03T09:41:20.619966+05:30
2024-07-10,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240710_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240710_F_0000.csv.zip,1197134,2026-07-03T09:41:20.619966+05:30
2024-07-11,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240711_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240711_F_0000.csv.zip,1190832,2026-07-03T09:41:20.619966+05:30
2024-07-12,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240712_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240712_F_0000.csv.zip,1204362,2026-07-03T09:41:20.619966+05:30
2024-07-15,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240715_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240715_F_0000.csv.zip,1225491,2026-07-03T09:41:20.619966+05:30
2024-07-16,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240716_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240716_F_0000.csv.zip,1242077,2026-07-03T09:41:20.619966+05:30
2024-07-17,missing_http_404,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240717_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240717_F_0000.csv.zip,0,2026-07-03T09:41:20.619966+05:30
2024-07-18,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240718_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240718_F_0000.csv.zip,1254101,2026-07-03T09:41:20.619966+05:30
2024-07-19,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240719_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240719_F_0000.csv.zip,1296692,2026-07-03T09:41:20.619966+05:30
