fold_id,rebalance_ts,next_rebalance_ts,ticker,short_notional_weight_proxy,has_historical_futstk_coverage
3,2019-05-14 09:15:00,2019-05-21 09:15:00,INFY,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,HCLTECH,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,HINDUNILVR,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,SBIN,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,BPCL,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,ULTRACEMCO,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,LT,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,NESTLEIND,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,BRITANNIA,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,BAJAJ-AUTO,0.02,True
4,2019-11-19 09:15:00,2020-01-01 09:15:00,TCS,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,ONGC,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,CIPLA,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,DRREDDY,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,TECHM,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,INFY,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,BHARTIARTL,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,M&M,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,SBIN,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,HINDUNILVR,0.02,True
4,2020-01-01 09:15:00,2020-02-11 09:15:00,BPCL,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,M&M,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,WIPRO,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,BRITANNIA,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,INFY,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,LT,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,ADANIPORTS,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,HINDUNILVR,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,ULTRACEMCO,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,SBIN,0.02,True
4,2020-05-14 09:15:00,2020-05-21 09:15:00,BPCL,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,ULTRACEMCO,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,ONGC,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,LT,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,BHARTIARTL,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,ADANIPORTS,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,NESTLEIND,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,ICICIBANK,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,HINDUNILVR,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,RELIANCE,0.02,True
5,2020-05-22 09:15:00,2020-07-06 09:15:00,BRITANNIA,0.02,True
5,2021-02-05 09:15:00,2021-03-22 09:15:00,M&M,0.02,True
5,2021-02-05 09:15:00,2021-03-22 09:15:00,HDFCBANK,0.02,True
5,2021-02-05 09:15:00,2021-03-22 09:15:00,KOTAKBANK,0.02,True
