trade_date,expiry_date,days_to_expiry,strike,option_type,open,high,low,close,settle_pr,contracts,val_inlakh,open_int,chg_in_oi,has_traded
2024-07-05,2024-09-26,83,24400.0,CE,650.0,662.85,637.35,653.0,952.1,10,62.62,100,75,True
2024-07-05,2024-09-26,83,24450.0,CE,600.0,630.0,600.0,628.7,628.7,9,56.41,125,75,True
2024-07-05,2024-09-26,83,24500.0,CE,581.75,647.8,560.5,627.5,627.5,1301,8160.94,39375,3750,True
2024-07-05,2024-09-26,83,24550.0,CE,577.7,599.0,557.1,599.0,599.0,7,43.98,125,100,True
2024-07-05,2024-09-26,83,24600.0,CE,520.0,581.55,520.0,581.55,581.55,21,131.89,500,500,True
2024-07-05,2024-09-26,83,24650.0,CE,0.0,0.0,0.0,746.7,822.95,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24700.0,CE,0.0,0.0,0.0,724.75,798.55,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24750.0,CE,0.0,0.0,0.0,703.2,774.65,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24800.0,CE,0.0,0.0,0.0,682.15,751.3,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24850.0,CE,0.0,0.0,0.0,661.55,728.45,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24900.0,CE,0.0,0.0,0.0,641.4,706.05,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24950.0,CE,0.0,0.0,0.0,621.7,684.15,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25000.0,CE,384.65,396.0,331.65,381.3,381.3,3888,24650.11,644425,13175,True
2024-07-05,2024-09-26,83,25050.0,CE,0.0,0.0,0.0,583.65,641.75,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25100.0,CE,0.0,0.0,0.0,565.25,621.3,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25150.0,CE,0.0,0.0,0.0,547.3,601.3,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25200.0,CE,0.0,0.0,0.0,529.75,581.75,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25250.0,CE,0.0,0.0,0.0,512.65,562.7,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25300.0,CE,0.0,0.0,0.0,495.95,544.1,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25350.0,CE,0.0,0.0,0.0,479.7,525.95,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25400.0,CE,0.0,0.0,0.0,463.8,508.25,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25450.0,CE,0.0,0.0,0.0,448.35,490.95,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25500.0,CE,201.0,219.0,182.25,212.35,212.35,2029,13035.04,44775,16300,True
2024-07-05,2024-09-26,83,25550.0,CE,0.0,0.0,0.0,418.6,457.8,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25600.0,CE,0.0,0.0,0.0,404.3,441.85,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25650.0,CE,0.0,0.0,0.0,178.45,426.3,0,0.0,225,0,False
2024-07-05,2024-09-26,83,25700.0,CE,0.0,0.0,0.0,376.85,411.2,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25750.0,CE,0.0,0.0,0.0,363.7,396.55,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25800.0,CE,0.0,0.0,0.0,350.9,382.25,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25850.0,CE,0.0,0.0,0.0,339.55,368.35,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25900.0,CE,0.0,0.0,0.0,213.75,354.9,0,0.0,25,0,False
2024-07-05,2024-09-26,83,25950.0,CE,0.0,0.0,0.0,315.9,341.8,0,0.0,0,0,False
2024-07-05,2024-09-26,83,26000.0,CE,99.0,115.0,89.95,108.5,108.5,5082,33161.85,357600,14000,True
2024-07-05,2024-09-26,83,26050.0,CE,172.4,172.4,94.85,97.55,97.55,92,601.45,2125,2125,True
2024-07-05,2024-09-26,83,27000.0,CE,28.0,30.0,23.1,28.75,28.75,1983,13398.79,299325,4875,True
2024-07-05,2024-09-26,83,28000.0,CE,13.35,14.2,11.05,13.7,13.7,1033,7234.26,137450,2175,True
2024-07-05,2024-09-26,83,29000.0,CE,9.7,14.3,9.05,12.8,12.8,1376,9979.99,28825,11250,True
2024-07-05,2024-09-26,83,16000.0,PE,5.95,6.4,5.25,5.5,5.5,137,548.19,120275,-1325,True
2024-07-05,2024-09-26,83,17000.0,PE,0.0,0.0,0.0,103.7,0.0,0,0.0,0,0,False
2024-07-05,2024-09-26,83,18000.0,PE,8.1,8.1,8.1,8.1,0.05,1,4.5,12025,25,True
2024-07-05,2024-09-26,83,19000.0,PE,14.5,16.45,13.75,14.75,14.75,2268,10781.85,249500,35200,True
2024-07-05,2024-09-26,83,20000.0,PE,19.95,20.6,18.2,19.6,19.6,1913,9574.38,438025,-1500,True
2024-07-05,2024-09-26,83,21000.0,PE,27.7,29.25,25.8,26.6,26.6,1114,5856.08,599650,-3175,True
2024-07-05,2024-09-26,83,22000.0,PE,59.15,61.95,53.6,56.15,56.15,3354,18494.63,779175,-5300,True
2024-07-05,2024-09-26,83,22250.0,PE,0.0,0.0,0.0,116.2,83.6,0,0.0,25,0,False
2024-07-05,2024-09-26,83,22300.0,PE,67.15,72.0,60.35,67.25,67.25,803,4490.45,33325,7250,True
2024-07-05,2024-09-26,83,22350.0,PE,0.0,0.0,0.0,144.9,94.2,0,0.0,0,0,False
2024-07-05,2024-09-26,83,22400.0,PE,79.0,81.0,72.8,75.55,75.55,337,1893.61,23275,5400,True
