scenario,allocation,cluster_id,loss_trades,first_entry,last_expiry,cluster_pnl_points,worst_trade_points
harsh_stress,def_full_resg50_ovg50,11,1,2020-10-12,2020-10-15,-0.9449999999999984,-0.9449999999999984
harsh_stress,def_full_resg50_ovg50,9,1,2020-08-27,2020-09-03,-0.1575000000000058,-0.1575000000000058
harsh_stress,def_full_resg50_ovg50,7,1,2020-07-06,2020-07-09,-0.0750000000000035,-0.0750000000000035
moderate_stress,def_full_resg0_ovg0,1,2,2017-04-24,2019-02-28,-11.212499999999999,-5.9875
moderate_stress,def_full_resg0_ovg0,2,1,2019-12-16,2019-12-19,-5.3375,-5.3375
moderate_stress,def_full_resg0_ovg0,4,2,2020-12-07,2020-12-31,-4.1375,-2.8875
moderate_stress,def_full_resg0_ovg0,5,1,2021-05-31,2021-06-03,-3.0,-3.0
moderate_stress,def_full_resg0_ovg0,3,1,2020-08-10,2020-08-13,-2.0500000000000007,-2.0500000000000007
moderate_stress,def_full_resg0_ovg50,1,2,2017-04-24,2019-02-28,-16.818749999999998,-8.98125
moderate_stress,def_full_resg0_ovg50,2,1,2019-12-16,2019-12-19,-8.006250000000001,-8.006250000000001
moderate_stress,def_full_resg0_ovg50,4,2,2020-12-07,2020-12-31,-6.20625,-4.33125
moderate_stress,def_full_resg0_ovg50,5,1,2021-05-31,2021-06-03,-4.5,-4.5
moderate_stress,def_full_resg0_ovg50,3,1,2020-08-10,2020-08-13,-3.075000000000001,-3.075000000000001
moderate_stress,def_full_resg100_ovg50,17,2,2022-07-18,2022-07-28,-81.72500000000001,-79.23750000000001
moderate_stress,def_full_resg100_ovg50,14,1,2021-08-26,2021-09-02,-75.01500000000014,-75.01500000000014
moderate_stress,def_full_resg100_ovg50,19,6,2023-02-13,2023-11-16,-28.925000000000004,-7.175000000000001
moderate_stress,def_full_resg100_ovg50,1,6,2016-10-19,2017-10-26,-20.8125,-7.837499999999999
moderate_stress,def_full_resg100_ovg50,7,3,2019-12-16,2020-02-13,-19.368750000000002,-8.006250000000001
moderate_stress,def_full_resg100_ovg50,4,5,2018-04-17,2018-08-30,-15.499999999999998,-5.825000000000001
moderate_stress,def_full_resg100_ovg50,12,1,2021-05-19,2021-05-27,-13.66249999999964,-13.66249999999964
moderate_stress,def_full_resg100_ovg50,5,1,2019-02-25,2019-02-28,-8.98125,-8.98125
moderate_stress,def_full_resg100_ovg50,20,2,2024-04-25,2024-05-02,-8.425,-6.949999999999999
moderate_stress,def_full_resg100_ovg50,2,2,2017-11-21,2017-11-30,-6.049999999999998,-3.1499999999999995
moderate_stress,def_full_resg100_ovg50,10,3,2020-12-14,2021-01-07,-5.925,-3.2875000000000005
moderate_stress,def_full_resg100_ovg50,3,2,2017-12-19,2017-12-28,-5.912500000000001,-3.1750000000000007
moderate_stress,def_full_resg100_ovg50,6,1,2019-05-27,2019-05-30,-5.2250000000000005,-5.2250000000000005
moderate_stress,def_full_resg100_ovg50,18,1,2022-11-14,2022-11-17,-5.15,-5.15
moderate_stress,def_full_resg100_ovg50,13,1,2021-05-31,2021-06-03,-4.5,-4.5
moderate_stress,def_full_resg100_ovg50,9,1,2020-12-07,2020-12-10,-4.33125,-4.33125
moderate_stress,def_full_resg100_ovg50,15,1,2021-09-27,2021-09-30,-3.4250000000000007,-3.4250000000000007
moderate_stress,def_full_resg100_ovg50,8,1,2020-08-10,2020-08-13,-3.075000000000001,-3.075000000000001
moderate_stress,def_full_resg100_ovg50,11,1,2021-02-15,2021-02-18,-1.7875000000000014,-1.7875000000000014
moderate_stress,def_full_resg100_ovg50,16,1,2022-01-10,2022-01-13,-1.2875000000000014,-1.2875000000000014
moderate_stress,def_full_resg100_ovg50,21,1,2024-05-17,2024-05-23,-1.0250000000000004,-1.0250000000000004
moderate_stress,def_full_resg50_ovg50,17,2,2022-07-18,2022-07-28,-40.862500000000004,-39.618750000000006
moderate_stress,def_full_resg50_ovg50,14,1,2021-08-26,2021-09-02,-37.50750000000007,-37.50750000000007
moderate_stress,def_full_resg50_ovg50,19,6,2023-02-13,2023-11-16,-14.462500000000002,-3.5875000000000004
moderate_stress,def_full_resg50_ovg50,1,6,2016-10-19,2017-10-26,-14.325,-7.837499999999999
moderate_stress,def_full_resg50_ovg50,7,3,2019-12-16,2020-02-13,-13.687500000000002,-8.006250000000001
moderate_stress,def_full_resg50_ovg50,5,1,2019-02-25,2019-02-28,-8.98125,-8.98125
moderate_stress,def_full_resg50_ovg50,4,5,2018-04-17,2018-08-30,-7.749999999999999,-2.9125000000000005
moderate_stress,def_full_resg50_ovg50,12,1,2021-05-19,2021-05-27,-6.83124999999982,-6.83124999999982
moderate_stress,def_full_resg50_ovg50,13,1,2021-05-31,2021-06-03,-4.5,-4.5
moderate_stress,def_full_resg50_ovg50,9,1,2020-12-07,2020-12-10,-4.33125,-4.33125
moderate_stress,def_full_resg50_ovg50,20,2,2024-04-25,2024-05-02,-4.2125,-3.475
moderate_stress,def_full_resg50_ovg50,10,3,2020-12-14,2021-01-07,-3.9000000000000004,-1.875
moderate_stress,def_full_resg50_ovg50,8,1,2020-08-10,2020-08-13,-3.075000000000001,-3.075000000000001
moderate_stress,def_full_resg50_ovg50,2,2,2017-11-21,2017-11-30,-3.0249999999999986,-1.5749999999999995
moderate_stress,def_full_resg50_ovg50,3,2,2017-12-19,2017-12-28,-2.9562500000000007,-1.5875000000000004
moderate_stress,def_full_resg50_ovg50,6,1,2019-05-27,2019-05-30,-2.6125000000000003,-2.6125000000000003
moderate_stress,def_full_resg50_ovg50,18,1,2022-11-14,2022-11-17,-2.575,-2.575
moderate_stress,def_full_resg50_ovg50,15,1,2021-09-27,2021-09-30,-1.7125000000000004,-1.7125000000000004
moderate_stress,def_full_resg50_ovg50,11,1,2021-02-15,2021-02-18,-0.8937500000000007,-0.8937500000000007
moderate_stress,def_full_resg50_ovg50,16,1,2022-01-10,2022-01-13,-0.6437500000000007,-0.6437500000000007
moderate_stress,def_full_resg50_ovg50,21,1,2024-05-17,2024-05-23,-0.5125000000000002,-0.5125000000000002
