symbol,trade_date,expiry_date,entry_spot,expiry_spot,short_put_strike,long_put_strike,short_put_premium,long_put_premium,net_credit_points,spread_width_points,max_loss_points,max_loss_pct_collateral,pnl_points,return_on_max_loss,return_on_cash_equivalent,assigned_or_tested
INFY,2024-10-24,2024-11-28,1863.35,1856.65,1760.0,1700.0,14.95,7.55,7.3999999999999995,60.0,52.6,0.029886363636363638,7.3999999999999995,0.14068441064638781,0.004204545454545454,False
INFY,2024-11-21,2024-12-26,1834.05,1907.4,1740.0,1680.0,14.9,7.0,7.9,60.0,52.1,0.029942528735632183,7.9,0.15163147792706333,0.0045402298850574715,False
INFY,2024-12-26,2025-01-30,1907.4,1859.95,1800.0,1720.0,13.5,4.6,8.9,80.0,71.1,0.03949999999999999,8.9,0.12517580872011252,0.004944444444444445,False
LT,2017-07-13,2017-07-27,1175.1,1182.05,1106.65,1066.65,2.45,0.85,1.6,40.0,38.4,0.034699317760809645,1.6,0.04166666666666667,0.001445804906700402,False
LT,2017-07-27,2017-08-31,1182.05,1136.3,1120.0,1066.65,14.45,3.4,11.049999999999999,53.34999999999991,42.29999999999991,0.03776785714285706,11.049999999999999,0.2612293144208043,0.009866071428571427,False
LT,2017-10-26,2017-11-30,1223.5,1216.55,1160.0,1120.0,15.0,6.1,8.9,40.0,31.1,0.026810344827586208,8.9,0.28617363344051444,0.007672413793103449,False
LT,2018-01-18,2018-02-22,1360.8,1292.0,1280.0,1200.0,13.4,7.0,6.4,80.0,73.6,0.057499999999999996,6.4,0.08695652173913045,0.005,False
LT,2018-03-22,2018-04-26,1296.25,1347.2,1220.0,1200.0,9.0,7.0,2.0,20.0,18.0,0.014754098360655738,2.0,0.1111111111111111,0.001639344262295082,False
LT,2018-04-26,2018-05-31,1347.2,1370.4,1260.0,1200.0,6.9,2.5,4.4,60.0,55.6,0.044126984126984126,4.4,0.07913669064748202,0.0034920634920634925,False
LT,2018-07-26,2018-08-30,1305.95,1346.55,1240.0,1200.0,13.9,6.6,7.300000000000001,40.0,32.7,0.026370967741935487,7.300000000000001,0.22324159021406728,0.005887096774193549,False
