strategy,trade_count,first_entry,last_expiry,total_pnl_points,mean_pnl_points,median_pnl_points,worst_trade_points,win_rate,max_drawdown_points,mean_return_on_margin,total_return_on_margin,annualized_return_on_margin,mean_days_to_expiry,mean_total_contracts
TB11_T08_dte7_ret5_0p01,90,2016-10-20,2024-05-23,1670.6149999999998,18.562388888888886,11.938749999999999,-69.20500000000014,0.8777777777777778,-69.20500000000015,0.029952257450095172,2.6957031705085654,0.18796071123401625,4.844444444444444,369921.31111111114
TB11_T08_dte9_ret5_0p02,58,2017-04-24,2024-05-23,1509.1125,26.01918103448276,15.02875,-68.50250000000001,0.9310344827586207,-68.50250000000005,0.04098701222538461,2.3772467090723075,0.18755817824960874,5.568965517241379,246700.0
TB11_T08_dte7_ret5_0p012,78,2016-10-20,2024-05-23,1556.2649999999996,19.95211538461538,11.96875,-69.20500000000014,0.9230769230769231,-69.20500000000015,0.032643342789383474,2.5461807375719108,0.18151361053240644,4.9743589743589745,307140.6666666667
TB11_T08_dte7_ret5_0p015,65,2017-04-24,2024-05-23,1323.1975,20.356884615384615,11.952499999999997,-69.20500000000014,0.9076923076923077,-69.20500000000015,0.03350032270894089,2.177520976081158,0.17737720072784802,4.876923076923077,326296.8769230769
TB11_T08_dte8_ret5_0p02,51,2017-04-24,2024-05-23,1351.0449999999998,26.491078431372546,15.212500000000002,-1.252499999999999,0.9411764705882353,-1.252499999999999,0.04206554643638441,2.145342868255605,0.1756858035284352,5.098039215686274,264618.7450980392
TB11_T08_dte7_ret5_0p02,43,2017-04-24,2024-02-08,1035.24,24.0753488372093,14.455000000000002,-1.252499999999999,0.9302325581395349,-1.252499999999999,0.03848148101527918,1.6547036836570048,0.15457768987464693,4.558139534883721,292164.5813953488
TB11_T08_dte7_ret5_1pct_h25_c2,90,2016-10-20,2024-05-23,958.4849999999999,10.649833333333332,5.381249999999998,-75.01500000000014,0.7,-76.42750000000012,0.017737930750672166,1.5964137675604948,0.1339648472522681,4.844444444444444,369921.31111111114
TB11_T08_dte6_ret5_0p02,27,2017-04-24,2022-11-03,499.16249999999997,18.487499999999997,11.924999999999999,-1.252499999999999,0.8888888888888888,-1.252499999999999,0.029816031175116015,0.8050328417281324,0.11275561600430417,3.111111111111111,383046.8888888889
TB11_T08_dte6_ret5_0p01,50,2017-04-24,2024-05-23,671.1775,13.42355,6.7612499999999995,-2.5125,0.84,-3.792500000000018,0.020535704120455925,1.0267852060227962,0.10492785402448512,3.12,553823.82
TB11_T08_dte6_ret5_0p012,41,2017-04-24,2024-05-23,584.69,14.260731707317074,6.782499999999999,-2.5125,0.9024390243902439,-2.5125000000000455,0.02250779753005483,0.922819698732248,0.096740424990571,3.1463414634146343,456456.8292682927
TB11_T08_dte6_ret5_0p015,36,2017-04-24,2024-05-23,540.61,15.016944444444444,6.952499999999999,-2.5125,0.8888888888888888,-2.5125000000000455,0.023723882683066445,0.854059776590392,0.09111404041151183,3.1666666666666665,482179.4166666667
TB11_T08_dte6_ret5_1pct_h25_c2,50,2017-04-24,2024-05-23,322.0625,6.44125,0.7937500000000002,-7.0875,0.58,-20.374999999999886,0.010240125149068507,0.5120062574534253,0.060133069867578826,3.12,553823.82
