scenario,allocation,entry_date,expiry_date,weighted_pnl_points,weighted_return_on_margin,active_legs,has_defensive,has_growth
harsh_stress,def_full_resg100_ovg50,2019-12-16,2019-12-19,-14.5125,-0.014546320194452,2,True,True
harsh_stress,def_full_resg100_ovg50,2017-04-24,2017-04-27,-14.325,-0.0287910762737412,2,True,True
harsh_stress,def_full_resg100_ovg50,2021-05-31,2021-06-03,-11.580000000000002,-0.0145528577891719,2,True,True
harsh_stress,def_full_resg100_ovg50,2023-11-09,2023-11-16,-11.57,-0.0115749772402132,1,False,True
harsh_stress,def_full_resg100_ovg50,2024-04-29,2024-05-02,-11.4,-0.0099182182008004,1,False,True
harsh_stress,def_full_resg100_ovg50,2023-11-06,2023-11-09,-11.375,-0.0113821138211382,1,False,True
harsh_stress,def_full_resg50_ovg50,2022-07-19,2022-07-28,-43.3025,-0.053043712600523,1,False,True
harsh_stress,def_full_resg50_ovg50,2021-08-26,2021-09-02,-39.96000000000007,-0.0473274667487831,1,False,True
harsh_stress,def_full_resg50_ovg50,2019-02-25,2019-02-28,-15.5325,-0.0259586700203056,2,True,True
harsh_stress,def_full_resg50_ovg50,2019-12-16,2019-12-19,-14.5125,-0.014546320194452,2,True,True
harsh_stress,def_full_resg50_ovg50,2017-04-24,2017-04-27,-14.325,-0.0287910762737412,2,True,True
harsh_stress,def_full_resg50_ovg50,2021-05-31,2021-06-03,-11.580000000000002,-0.0145528577891719,2,True,True
harsh_stress,def_full_resg50_ovg50,2020-12-07,2020-12-10,-11.3325,-0.0162927446427672,2,True,True
harsh_stress,def_full_resg50_ovg50,2021-05-19,2021-05-27,-10.39749999999982,-0.014378167587413,1,False,True
harsh_stress,def_full_resg50_ovg50,2020-08-10,2020-08-13,-10.11,-0.0169990247839392,2,True,True
harsh_stress,def_full_resg50_ovg50,2020-12-28,2020-12-31,-9.450000000000005,-0.0136108310528589,2,True,True
moderate_stress,def_full_resg0_ovg0,2019-02-25,2019-02-28,-5.9875,-0.0100127511026568,1,True,True
moderate_stress,def_full_resg0_ovg0,2019-12-16,2019-12-19,-5.3375,-0.0053517490317971,1,True,True
moderate_stress,def_full_resg0_ovg0,2017-04-24,2017-04-27,-5.225,-0.0105083211825632,1,True,True
moderate_stress,def_full_resg0_ovg0,2021-05-31,2021-06-03,-3.0,-0.0037735849056603,1,True,True
moderate_stress,def_full_resg0_ovg0,2020-12-07,2020-12-10,-2.8875,-0.0041553488874098,1,True,True
moderate_stress,def_full_resg0_ovg0,2020-08-10,2020-08-13,-2.0500000000000007,-0.0034508879723928,1,True,True
moderate_stress,def_full_resg0_ovg0,2020-12-28,2020-12-31,-1.25,-0.0018031013342949,1,True,True
moderate_stress,def_full_resg0_ovg0,2019-10-17,2019-10-24,0.325000000000001,0.0004105219945053,1,True,True
moderate_stress,def_full_resg0_ovg0,2020-11-13,2020-11-19,0.7374999999999989,0.00115007504727,1,True,True
moderate_stress,def_full_resg0_ovg0,2022-10-31,2022-11-03,0.7624999999999993,0.0008101037198369,1,True,True
moderate_stress,def_full_resg0_ovg50,2019-02-25,2019-02-28,-8.98125,-0.0150191266539852,2,True,True
moderate_stress,def_full_resg0_ovg50,2019-12-16,2019-12-19,-8.006250000000001,-0.0080276235476956,2,True,True
moderate_stress,def_full_resg0_ovg50,2017-04-24,2017-04-27,-7.837499999999999,-0.0157624817738448,2,True,True
moderate_stress,def_full_resg0_ovg50,2021-05-31,2021-06-03,-4.5,-0.0056603773584904,2,True,True
moderate_stress,def_full_resg0_ovg50,2020-12-07,2020-12-10,-4.33125,-0.0062330233311147,2,True,True
moderate_stress,def_full_resg0_ovg50,2020-08-10,2020-08-13,-3.075000000000001,-0.0051763319585892,2,True,True
moderate_stress,def_full_resg0_ovg50,2020-12-28,2020-12-31,-1.875,-0.0027046520014423,2,True,True
moderate_stress,def_full_resg0_ovg50,2019-10-17,2019-10-24,0.4875000000000015,0.0006157829917579,2,True,True
moderate_stress,def_full_resg0_ovg50,2020-11-13,2020-11-19,1.1062499999999984,0.001725112570905,2,True,True
moderate_stress,def_full_resg0_ovg50,2022-10-31,2022-11-03,1.143749999999999,0.0012151555797553,2,True,True
moderate_stress,def_full_resg100_ovg50,2022-07-19,2022-07-28,-79.23750000000001,-0.0974645981641784,1,False,True
moderate_stress,def_full_resg100_ovg50,2021-08-26,2021-09-02,-75.01500000000014,-0.088940925393485,1,False,True
moderate_stress,def_full_resg100_ovg50,2021-05-19,2021-05-27,-13.66249999999964,-0.0189753650110236,1,False,True
moderate_stress,def_full_resg100_ovg50,2019-02-25,2019-02-28,-8.98125,-0.0150191266539852,2,True,True
moderate_stress,def_full_resg100_ovg50,2019-12-16,2019-12-19,-8.006250000000001,-0.0080276235476956,2,True,True
moderate_stress,def_full_resg100_ovg50,2017-04-24,2017-04-27,-7.837499999999999,-0.0157624817738448,2,True,True
moderate_stress,def_full_resg100_ovg50,2023-11-09,2023-11-16,-7.175000000000001,-0.0071809242625165,1,False,True
moderate_stress,def_full_resg100_ovg50,2023-11-06,2023-11-09,-7.0875,-0.0070939732505911,1,False,True
moderate_stress,def_full_resg100_ovg50,2024-04-29,2024-05-02,-6.949999999999999,-0.0060490012620218,1,False,True
moderate_stress,def_full_resg100_ovg50,2020-02-10,2020-02-13,-6.2875000000000005,-0.009004170918139,1,False,True
moderate_stress,def_full_resg50_ovg50,2022-07-19,2022-07-28,-39.618750000000006,-0.0487322990820892,1,False,True
moderate_stress,def_full_resg50_ovg50,2021-08-26,2021-09-02,-37.50750000000007,-0.0444704626967425,1,False,True
moderate_stress,def_full_resg50_ovg50,2019-02-25,2019-02-28,-8.98125,-0.0150191266539852,2,True,True
moderate_stress,def_full_resg50_ovg50,2019-12-16,2019-12-19,-8.006250000000001,-0.0080276235476956,2,True,True
moderate_stress,def_full_resg50_ovg50,2017-04-24,2017-04-27,-7.837499999999999,-0.0157624817738448,2,True,True
moderate_stress,def_full_resg50_ovg50,2021-05-19,2021-05-27,-6.83124999999982,-0.0094876825055118,1,False,True
moderate_stress,def_full_resg50_ovg50,2021-05-31,2021-06-03,-4.5,-0.0056603773584904,2,True,True
moderate_stress,def_full_resg50_ovg50,2020-12-07,2020-12-10,-4.33125,-0.0062330233311147,2,True,True
moderate_stress,def_full_resg50_ovg50,2023-11-09,2023-11-16,-3.5875000000000004,-0.0035904621312582,1,False,True
moderate_stress,def_full_resg50_ovg50,2023-11-06,2023-11-09,-3.54375,-0.0035469866252955,1,False,True
