Symbol,Company,Weight,WeightPct,Source,SourceUrl,FetchedAtIST,MappingStatus
SBILIFE,SBI LIFE INSURANCE COMPANY LTD,0.93,0.93,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
TRENT,TRENT LTD,0.92,0.92,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
WIPRO,WIPRO LTD,0.9,0.9,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
JIOFIN,JIO FINANCIAL SERVICES LTD,0.82,0.82,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
TECHM,TECH MAHINDRA LTD,0.72,0.72,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
TMPV,TATA MOTORS PASSENGER VEHICLES LTD,0.66,0.66,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD,0.65,0.65,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
HDFCLIFE,HDFC LIFE INSURANCE CO LTD,0.65,0.65,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
CIPLA,CIPLA LTD,0.61,0.61,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
DRREDDY,DR REDDYS LABORATORIES LTD,0.58,0.58,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
MAXHEALTH,MAX HEALTHCARE INSTITUTE LTD,0.57,0.57,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
TATACONSUM,TATA CONSUMER PRODUCTS LTD,0.57,0.57,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
