Date,Ticker,EventDate,Source,Purpose,Company,SourceUrl,FetchedAtIST
2025-01-28,ABSLAMC,2025-01-28,NSE corporates-financial-results quarterly,Third Quarter,Aditya Birla Sun Life AMC Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-28,ACC,2025-01-28,NSE corporates-financial-results quarterly,Third Quarter,ACC Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-31,ACC,2025-01-31,NSE corporates-financial-results quarterly,Third Quarter,ACC Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-22,ACCELYA,2025-01-22,NSE corporates-financial-results quarterly,Second Quarter,Accelya Solutions India Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,ACCURACY,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Accuracy Shipping Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-07,ACE,2025-02-07,NSE corporates-financial-results quarterly,Third Quarter,Action Construction Equipment Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,ACEINTEG,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Ace Integrated Solutions Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-07,ACI,2025-02-07,NSE corporates-financial-results quarterly,Third Quarter,Archean Chemical Industries Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-24,ACL,2025-01-24,NSE corporates-financial-results quarterly,Third Quarter,Andhra Cements Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-07,ACLGATI,2025-02-07,NSE corporates-financial-results quarterly,Third Quarter,Allcargo Gati Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-29,ACMESOLAR,2025-01-29,NSE corporates-financial-results quarterly,Third Quarter,Acme Solar Holdings Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-29,ACUTAAS,2025-01-29,NSE corporates-financial-results quarterly,Third Quarter,Acutaas Chemicals Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-24,ADANIENSOL,2025-01-24,NSE corporates-financial-results quarterly,Third Quarter,Adani Energy Solutions Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-04,ADANIENSOL,2025-02-04,NSE corporates-financial-results quarterly,Third Quarter,Adani Energy Solutions Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2026-07-21,ADANIENSOL,2026-07-21,NSE event-calendar,Financial Results,Adani Energy Solutions Limited,https://www.nseindia.com/api/event-calendar,2026-07-03T14:04:51.745795+05:30
2025-01-31,ADANIENT,2025-01-31,NSE corporates-financial-results quarterly,Third Quarter,Adani Enterprises Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-23,ADANIGREEN,2025-01-23,NSE corporates-financial-results quarterly,Third Quarter,Adani Green Energy Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2026-07-22,ADANIGREEN,2026-07-22,NSE event-calendar,Financial Results,Adani Green Energy Limited,https://www.nseindia.com/api/event-calendar,2026-07-03T14:04:51.745795+05:30
2025-01-30,ADANIPORTS,2025-01-30,NSE corporates-financial-results quarterly,Third Quarter,Adani Ports and Special Economic Zone Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-29,ADANIPOWER,2025-01-29,NSE corporates-financial-results quarterly,Third Quarter,Adani Power Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2026-07-22,ADANIPOWER,2026-07-22,NSE event-calendar,Financial Results,Adani Power Limited,https://www.nseindia.com/api/event-calendar,2026-07-03T14:04:51.745795+05:30
